"floatID"	"lon"	"lat"	"datetime_JULD"	"datetime_UTC"	"temp"	"sal"	"pCO2_MLR"	"press"	"flag"	"yr"	"mm"	"dd"	"ws"	"sst"	"sea_ice"
5904983	-76.996	-65.7	24544.7347222222	"2017-03-14 17:00:00"	2.424	33.631	381.8	4.1	0	2017	3	14	4.79486416396722	2.37463194692285	0
5904983	-78.759	-65.161	24564.7361111111	"2017-04-03 17:00:00"	1.297	33.66	394.8	4.2	0	2017	4	3	5.11376170947337	0.833468141370535	0
5904983	-76.781	-63.887	24584.79375	"2017-04-23 19:00:00"	0.994	33.576	386.7	4	0	2017	4	23	5.37954804835908	0.783039982497695	0
5904983	-72.866	-63.126	24604.8368055555	"2017-05-13 20:00:00"	0.952	33.599	392.6	4.3	0	2017	5	13	2.16151311676992	1.04834877656757	0
5904983	-71.928	-63.661	24614.9125	"2017-05-23 21:00:00"	1.358	33.67	399.5	4.2	0	2017	5	23	4.08016521021637	0.524063348286273	0
5904983	-71.604	-64.111	24634.9097222222	"2017-06-12 21:00:00"	0.043	33.63	390	4.2	0	2017	6	12	2.95826738741394	-0.27598815383119	0
5904983	-69.206	-63.8	24654.9381944444	"2017-07-02 22:00:00"	-1.324	33.757	396.9	4.4	0	2017	7	2	3.55829671185382	-1.01828397723958	0
5904983	-68.373	-63.525	24674.9840277778	"2017-07-22 23:00:00"	-1.383	33.71	392.7	2.7	0	2017	7	22	3.24828254675378	-1.67859196248054	0
5904983	-68.187	-63.526	24685.1125	"2017-08-02 02:00:00"	-1.792	33.77	397	6.6	0	2017	8	2	6.67438211363117	-1.73842204114324	2.23352367474313
5904984	-65.334	-60.236	24549.8361111111	"2017-03-19 20:00:00"	2.833	33.663	379.8	4	0	2017	3	19	11.1849062479566	2.26197626944089	0
5905995	-12.322	-66.004	25209.3513888889	"2019-01-08 08:00:00"	-0.0095	34.1003	315.5	7.47	0	2019	1	8	9.37170130670484	0.132438237039774	0
5905995	-12.485	-66.124	25219.3611111111	"2019-01-18 08:00:00"	0.3359	34.0968	312.3	7.68	0	2019	1	18	4.63982182864923	0.0818527981704562	0
5905995	-12.534	-66.203	25229.3993055555	"2019-01-28 09:00:00"	0.2599	34.1068	333.6	7.31	0	2019	1	28	6.9036400088028	0.873575660474061	0
5905995	-12.53	-66.17	25239.4409722222	"2019-02-07 10:00:00"	0.7463	34.1113	321.2	7.52	0	2019	2	7	14.4099161111011	0.79971598212496	0
5905995	-12.572	-66.209	25249.4590277778	"2019-02-17 11:00:00"	0.8131	34.1184	325.6	7.4	0	2019	2	17	15.2628742079008	1.12642301482248	0
